"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Marketing and Advertising"
"Company Attributes","Industry — Include","Computer Software"
"Company Attributes","Industry — Include","Internet"
"Company Attributes","Industry — Include","Information Technology and Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Employee Count — Min","51"
"Company Attributes","Employee Count — Max","5000"
"Company Attributes","Description Keyword — Include","adtech"
"Company Attributes","Description Keyword — Include","martech"
"Company Attributes","Description Keyword — Include","programmatic"
"Company Attributes","Description Keyword — Include","publisher"
"Company Attributes","Description Keyword — Include","sell-side"
"Company Attributes","Description Keyword — Include","SSP"
"Company Attributes","Description Keyword — Include","measurement"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","consumer app"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Sales"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","CRO"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","VP Sales"
"Job Title","Job Title — Include (Similar To)","VP Publisher Development"
"Job Title","Job Title — Include (Similar To)","Head of Publisher Partnerships"
"Job Title","Job Title — Include (Similar To)","VP Revenue"
"Job Title","Job Title — Include (Similar To)","SVP Strategy"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","SDR"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","programmatic"
"Experience","Experience Description Keyword","publisher"
"Experience","Experience Description Keyword","ad tech"
"Location","Country — Include","United Kingdom"
"Location","Country — Include","Germany"
"Location","Country — Include","France"
"Location","Country — Include","Netherlands"
"Professional Bio","Headline Keyword","Adtech"
"Professional Bio","Headline Keyword","Programmatic"
"Professional Bio","Headline Keyword","Publisher"
"Professional Bio","Bio Keyword","SSP"
"Professional Bio","Bio Keyword","DSP"
"Professional Bio","About Section Keyword","publisher monetisation"
"Professional Bio","About Section Keyword","programmatic"
"Professional Bio","About Section Keyword","sell-side"
