"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Venture Capital and Private Equity"
"Company Attributes","Industry — Include","Investment Management"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Description Keyword — Include","media"
"Company Attributes","Description Keyword — Include","advertising"
"Company Attributes","Description Keyword — Include","adtech"
"Company Attributes","Description Keyword — Include","portfolio"
"Company Attributes","Description Keyword — Exclude","consumer lending"
"Company Attributes","Description Keyword — Exclude","real estate"
"Job Title","Seniority","Partner"
"Job Title","Seniority","CXO"
"Job Title","Job Function","Finance"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","Partner"
"Job Title","Job Title — Include (Similar To)","Venture Partner"
"Job Title","Job Title — Include (Similar To)","Board Member"
"Job Title","Job Title — Include (Similar To)","Board Director"
"Job Title","Job Title — Include (Similar To)","Advisor"
"Job Title","Job Title — Include (Similar To)","Principal"
"Job Title","Job Title — Include (Similar To)","General Partner"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Associate"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","media"
"Experience","Experience Description Keyword","adtech"
"Experience","Experience Description Keyword","investment"
"Location","Country — Include","United States"
"Location","Country — Include","United Kingdom"
"Professional Bio","Headline Keyword","Partner"
"Professional Bio","Headline Keyword","Investor"
"Professional Bio","Headline Keyword","Board"
"Professional Bio","Bio Keyword","media"
"Professional Bio","Bio Keyword","adtech"
"Professional Bio","About Section Keyword","portfolio"
"Professional Bio","About Section Keyword","board"
"Professional Bio","About Section Keyword","digital media"
