"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Include","Supermarkets"
"Company Attributes","Industry — Include","Consumer Goods"
"Company Attributes","Industry — Include","Internet"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","retail media"
"Company Attributes","Description Keyword — Include","commerce media"
"Company Attributes","Description Keyword — Include","retail media network"
"Company Attributes","Description Keyword — Include","advertising"
"Company Attributes","Description Keyword — Include","first-party data"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","franchise"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Marketing"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","CMO"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","CDO"
"Job Title","Job Title — Include (Similar To)","Head of Media"
"Job Title","Job Title — Include (Similar To)","VP Media"
"Job Title","Job Title — Include (Similar To)","VP Data"
"Job Title","Job Title — Include (Similar To)","Head of Retail Media"
"Job Title","Job Title — Include (Similar To)","VP Strategy"
"Job Title","Job Title — Include (Similar To)","Head of Commerce Media"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","retail media"
"Experience","Experience Description Keyword","advertising"
"Experience","Experience Description Keyword","data"
"Location","Country — Include","United Kingdom"
"Location","Country — Include","Germany"
"Location","Country — Include","France"
"Location","Country — Include","Netherlands"
"Professional Bio","Headline Keyword","CMO"
"Professional Bio","Headline Keyword","Retail Media"
"Professional Bio","Headline Keyword","Commerce Media"
"Professional Bio","Bio Keyword","media network"
"Professional Bio","Bio Keyword","first-party data"
"Professional Bio","About Section Keyword","retail media"
"Professional Bio","About Section Keyword","monetisation"
"Professional Bio","About Section Keyword","RMN"
