"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Supermarkets"
"Company Attributes","Industry — Include","Food and Beverages"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","supply chain"
"Company Attributes","Description Keyword — Include","demand planning"
"Company Attributes","Description Keyword — Include","forecasting"
"Company Attributes","Description Keyword — Include","grocery"
"Company Attributes","Description Keyword — Include","replenishment"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","franchise"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Supply Chain"
"Job Title","Job Title — Include (Similar To)","Head of Supply Chain"
"Job Title","Job Title — Include (Similar To)","VP Supply Chain"
"Job Title","Job Title — Include (Similar To)","Supply Chain Director"
"Job Title","Job Title — Include (Similar To)","Director of Supply Chain"
"Job Title","Job Title — Include (Similar To)","Head of Logistics"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","supply chain"
"Experience","Experience Description Keyword","grocery"
"Experience","Experience Description Keyword","demand planning"
"Location","Country — Include","United Kingdom"
"Professional Bio","Headline Keyword","Head of Supply Chain"
"Professional Bio","Headline Keyword","Supply Chain Director"
"Professional Bio","Headline Keyword","VP Supply Chain"
"Professional Bio","Bio Keyword","supply chain"
"Professional Bio","Bio Keyword","demand planning"
"Professional Bio","About Section Keyword","forecasting"
"Professional Bio","About Section Keyword","replenishment"
"Professional Bio","About Section Keyword","grocery"
