"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Computer Software"
"Company Attributes","Industry — Include","Internet"
"Company Attributes","Industry — Include","Information Technology and Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Employee Count — Min","11"
"Company Attributes","Employee Count — Max","1000"
"Company Attributes","Description Keyword — Include","SaaS"
"Company Attributes","Description Keyword — Include","cash flow"
"Company Attributes","Description Keyword — Include","forecasting"
"Company Attributes","Description Keyword — Include","financial visibility"
"Company Attributes","Description Keyword — Include","QuickBooks"
"Company Attributes","Description Keyword — Include","Xero"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","lifestyle"
"Job Title","Seniority","Owner"
"Job Title","Seniority","CXO"
"Job Title","Job Function","Entrepreneurship"
"Job Title","Job Function","Finance"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","CFO"
"Job Title","Job Title — Include (Similar To)","Head of Finance"
"Job Title","Job Title — Include (Similar To)","VP Finance"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","SaaS"
"Experience","Experience Description Keyword","financial visibility"
"Experience","Experience Description Keyword","cash flow"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","Founder"
"Professional Bio","Headline Keyword","CEO"
"Professional Bio","Headline Keyword","CFO"
"Professional Bio","Bio Keyword","cash flow"
"Professional Bio","Bio Keyword","margin"
"Professional Bio","About Section Keyword","real-time"
"Professional Bio","About Section Keyword","forecasting"
"Professional Bio","About Section Keyword","profitability"
