"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Include","Supermarkets"
"Company Attributes","Industry — Include","Apparel and Fashion"
"Company Attributes","Industry — Include","Hospitality"
"Company Attributes","Industry — Include","Restaurants"
"Company Attributes","Industry — Include","Food and Beverages"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","store operations"
"Company Attributes","Description Keyword — Include","multi-site"
"Company Attributes","Description Keyword — Include","workforce"
"Company Attributes","Description Keyword — Include","scheduling"
"Company Attributes","Description Keyword — Include","labour"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Company Attributes","Description Keyword — Exclude","franchise"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Operations"
"Job Title","Job Function","Finance"
"Job Title","Job Function","Human Resources"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","Operations Director"
"Job Title","Job Title — Include (Similar To)","Head of Store Operations"
"Job Title","Job Title — Include (Similar To)","Head of Retail Operations"
"Job Title","Job Title — Include (Similar To)","CFO"
"Job Title","Job Title — Include (Similar To)","Finance Director"
"Job Title","Job Title — Include (Similar To)","Head of Finance"
"Job Title","Job Title — Include (Similar To)","CHRO"
"Job Title","Job Title — Include (Similar To)","Chief People Officer"
"Job Title","Job Title — Include (Similar To)","HR Director"
"Job Title","Job Title — Include (Similar To)","Head of People"
"Job Title","Job Title — Include (Similar To)","Head of Workforce"
"Job Title","Job Title — Include (Similar To)","Head of Labour"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Coordinator"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Kingdom"
"Location","Country — Include","Ireland"
"Professional Bio","Bio Keyword","store operations"
"Professional Bio","Bio Keyword","workforce"
"Professional Bio","About Section Keyword","scheduling"
"Professional Bio","About Section Keyword","labour"
"Professional Bio","About Section Keyword","multi-site"
