"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Supermarkets"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Include","Food and Beverages"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","supply chain technology"
"Company Attributes","Description Keyword — Include","digital transformation"
"Company Attributes","Description Keyword — Include","ERP"
"Company Attributes","Description Keyword — Include","RELEX"
"Company Attributes","Description Keyword — Include","Blue Yonder"
"Company Attributes","Description Keyword — Include","SAP"
"Company Attributes","Description Keyword — Exclude","staffing"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Information Technology"
"Job Title","Job Function","Supply Chain"
"Job Title","Job Title — Include (Similar To)","CTO"
"Job Title","Job Title — Include (Similar To)","CIO"
"Job Title","Job Title — Include (Similar To)","Head of Technology"
"Job Title","Job Title — Include (Similar To)","Head of Digital"
"Job Title","Job Title — Include (Similar To)","Head of IT"
"Job Title","Job Title — Include (Similar To)","VP Technology"
"Job Title","Job Title — Include (Similar To)","Head of Supply Chain Technology"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","supply chain technology"
"Experience","Experience Description Keyword","ERP"
"Experience","Experience Description Keyword","digital transformation"
"Location","Country — Include","United Kingdom"
"Professional Bio","Headline Keyword","CTO"
"Professional Bio","Headline Keyword","CIO"
"Professional Bio","Headline Keyword","Head of Digital"
"Professional Bio","Bio Keyword","supply chain technology"
"Professional Bio","Bio Keyword","ERP"
"Professional Bio","About Section Keyword","RELEX"
"Professional Bio","About Section Keyword","Blue Yonder"
"Professional Bio","About Section Keyword","digital transformation"
