"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Facilities Services"
"Company Attributes","Industry — Include","Security and Investigations"
"Company Attributes","Industry — Include","Outsourcing/Offshoring"
"Company Attributes","Industry — Include","Hospitality"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","facilities management"
"Company Attributes","Description Keyword — Include","multi-site"
"Company Attributes","Description Keyword — Include","labour"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Job Title","Seniority","CXO"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","Managing Director"
"Job Title","Job Title — Include (Similar To)","President"
"Job Title","Job Title — Include (Similar To)","Group CEO"
"Job Title","Job Title — Include (Similar To)","Chief Executive"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Kingdom"
"Location","Country — Include","Ireland"
"Professional Bio","Bio Keyword","facilities management"
"Professional Bio","Bio Keyword","labour"
"Professional Bio","About Section Keyword","multi-site"
