"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Computer Software"
"Company Attributes","Industry — Include","Internet"
"Company Attributes","Industry — Include","Information Technology and Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Description Keyword — Include","SaaS"
"Company Attributes","Description Keyword — Include","B2B"
"Company Attributes","Description Keyword — Include","platform"
"Company Attributes","Description Keyword — Include","software"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","recruitment"
"Company Attributes","Description Keyword — Exclude","franchise"
"Job Title","Seniority","Owner"
"Job Title","Seniority","CXO"
"Job Title","Job Function","Entrepreneurship"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Include (Similar To)","Co-Founder"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Student"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Coordinator"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","founder"
"Experience","Experience Description Keyword","growth"
"Experience","Experience Description Keyword","revenue"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","Founder"
"Professional Bio","Headline Keyword","CEO"
"Professional Bio","Headline Keyword","Co-Founder"
"Professional Bio","Bio Keyword","SaaS"
"Professional Bio","Bio Keyword","B2B"
"Professional Bio","About Section Keyword","built"
"Professional Bio","About Section Keyword","founded"
"Professional Bio","About Section Keyword","revenue"
