"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Computer Software"
"Company Attributes","Industry — Include","Internet"
"Company Attributes","Industry — Include","Media Production"
"Company Attributes","Industry — Include","Online Media"
"Company Attributes","Industry — Include","Publishing"
"Company Attributes","Industry — Include","E-Learning"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","digital"
"Company Attributes","Description Keyword — Include","web"
"Company Attributes","Description Keyword — Include","platform"
"Company Attributes","Description Keyword — Include","frontend"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Company Attributes","Description Keyword — Exclude","outsourcing"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Engineering"
"Job Title","Job Function","Information Technology"
"Job Title","Job Title — Include (Similar To)","CTO"
"Job Title","Job Title — Include (Similar To)","VP Engineering"
"Job Title","Job Title — Include (Similar To)","Head of Engineering"
"Job Title","Job Title — Include (Similar To)","Director of Engineering"
"Job Title","Job Title — Include (Similar To)","Head of Technology"
"Job Title","Job Title — Include (Similar To)","Head of Digital"
"Job Title","Job Title — Include (Similar To)","Chief Architect"
"Job Title","Job Title — Include (Similar To)","Head of Platform"
"Job Title","Job Title — Include (Similar To)","Head of Infrastructure"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Recruiter"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Kingdom"
"Location","Country — Include","Ireland"
"Professional Bio","Bio Keyword","frontend"
"Professional Bio","Bio Keyword","web infrastructure"
"Professional Bio","About Section Keyword","performance"
"Professional Bio","About Section Keyword","developer tooling"
"Professional Bio","About Section Keyword","edge"
"Professional Bio","About Section Keyword","deployment"
