"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Include","Banking"
"Company Attributes","Industry — Include","Insurance"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Include","Food and Beverages"
"Company Attributes","Industry — Include","Oil and Energy"
"Company Attributes","Industry — Include","Utilities"
"Company Attributes","Industry — Include","Telecommunications"
"Company Attributes","Industry — Include","Logistics and Supply Chain"
"Company Attributes","Industry — Include","Government Administration"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","201"
"Company Attributes","Description Keyword — Include","Copilot"
"Company Attributes","Description Keyword — Include","ChatGPT"
"Company Attributes","Description Keyword — Include","Gemini"
"Company Attributes","Description Keyword — Include","generative AI"
"Company Attributes","Description Keyword — Include","large language model"
"Company Attributes","Description Keyword — Include","RAG"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Information Technology"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","Head of AI"
"Job Title","Job Title — Include (Similar To)","Head of ML"
"Job Title","Job Title — Include (Similar To)","AI Lead"
"Job Title","Job Title — Include (Similar To)","Head of Data"
"Job Title","Job Title — Include (Similar To)","CTO"
"Job Title","Job Title — Include (Similar To)","Chief AI Officer"
"Job Title","Job Title — Include (Similar To)","Head of Innovation"
"Job Title","Job Title — Include (Similar To)","Head of Digital Transformation"
"Job Title","Job Title — Include (Similar To)","Enterprise Architect"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Recruiter"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Kingdom"
"Professional Bio","Bio Keyword","AI implementation"
"Professional Bio","Bio Keyword","Copilot"
"Professional Bio","Bio Keyword","generative AI"
"Professional Bio","About Section Keyword","PoC"
"Professional Bio","About Section Keyword","AI governance"
"Professional Bio","About Section Keyword","shadow AI"
"Professional Bio","About Section Keyword","enterprise AI"
