"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Computer Software"
"Company Attributes","Industry — Include","Internet"
"Company Attributes","Industry — Include","Information Technology and Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Description Keyword — Include","SaaS"
"Company Attributes","Description Keyword — Include","B2B"
"Company Attributes","Description Keyword — Include","revenue"
"Company Attributes","Description Keyword — Include","sales"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","recruitment"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Sales"
"Job Title","Job Function","Business Development"
"Job Title","Job Title — Include (Similar To)","Head of Sales"
"Job Title","Job Title — Include (Similar To)","VP Sales"
"Job Title","Job Title — Include (Similar To)","VP of Sales"
"Job Title","Job Title — Include (Similar To)","Sales Director"
"Job Title","Job Title — Include (Similar To)","Chief Revenue Officer"
"Job Title","Job Title — Include (Similar To)","CRO"
"Job Title","Job Title — Include (Similar To)","Regional Sales Director"
"Job Title","Job Title — Include (Similar To)","Director of Sales"
"Job Title","Job Title — Include (Similar To)","Sales Leader"
"Job Title","Job Title — Include (Similar To)","Country Sales Director"
"Job Title","Job Title — Exclude","SDR"
"Job Title","Job Title — Exclude","BDR"
"Job Title","Job Title — Exclude","Account Executive"
"Job Title","Job Title — Exclude","Intern"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","revenue growth"
"Experience","Experience Description Keyword","sales leadership"
"Experience","Experience Description Keyword","ARR"
"Location","Country — Include","United Kingdom"
"Professional Bio","Headline Keyword","VP Sales"
"Professional Bio","Headline Keyword","Head of Sales"
"Professional Bio","Headline Keyword","CRO"
"Professional Bio","Headline Keyword","Sales Director"
"Professional Bio","Bio Keyword","revenue"
"Professional Bio","Bio Keyword","pipeline"
"Professional Bio","Bio Keyword","quota"
"Professional Bio","About Section Keyword","ARR"
"Professional Bio","About Section Keyword","GTM"
"Professional Bio","About Section Keyword","outbound"
