"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Facilities Services"
"Company Attributes","Industry — Include","Security and Investigations"
"Company Attributes","Industry — Include","Outsourcing/Offshoring"
"Company Attributes","Industry — Include","Hospitality"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","facilities management"
"Company Attributes","Description Keyword — Include","retention"
"Company Attributes","Description Keyword — Include","turnover"
"Company Attributes","Description Keyword — Include","frontline"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Human Resources"
"Job Title","Job Title — Include (Similar To)","CHRO"
"Job Title","Job Title — Include (Similar To)","Chief People Officer"
"Job Title","Job Title — Include (Similar To)","HR Director"
"Job Title","Job Title — Include (Similar To)","People Director"
"Job Title","Job Title — Include (Similar To)","Head of HR"
"Job Title","Job Title — Include (Similar To)","Head of People"
"Job Title","Job Title — Include (Similar To)","Head of Workforce"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Recruiter"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Kingdom"
"Location","Country — Include","Ireland"
"Professional Bio","Bio Keyword","retention"
"Professional Bio","Bio Keyword","frontline"
"Professional Bio","About Section Keyword","turnover"
"Professional Bio","About Section Keyword","workforce"
