"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Online Media"
"Company Attributes","Industry — Include","Publishing"
"Company Attributes","Industry — Include","Broadcast Media"
"Company Attributes","Industry — Include","Entertainment"
"Company Attributes","Industry — Include","Newspapers"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Employee Count — Min","51"
"Company Attributes","Employee Count — Max","5000"
"Company Attributes","Description Keyword — Include","monetisation"
"Company Attributes","Description Keyword — Include","digital media"
"Company Attributes","Description Keyword — Include","advertising"
"Company Attributes","Description Keyword — Include","publisher"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","non-profit"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","General Management"
"Job Title","Job Function","Marketing"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","President"
"Job Title","Job Title — Include (Similar To)","GM"
"Job Title","Job Title — Include (Similar To)","CRO"
"Job Title","Job Title — Include (Similar To)","Chief Commercial Officer"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","Chief Revenue Officer"
"Job Title","Job Title — Include (Similar To)","EVP Revenue"
"Job Title","Job Title — Include (Similar To)","Head of Strategic Partnerships"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Coordinator"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","monetisation"
"Experience","Experience Description Keyword","advertising"
"Experience","Experience Description Keyword","revenue"
"Location","Country — Include","United Kingdom"
"Location","Country — Include","Germany"
"Location","Country — Include","France"
"Location","Country — Include","Netherlands"
"Location","Country — Include","Sweden"
"Professional Bio","Headline Keyword","CEO"
"Professional Bio","Headline Keyword","CRO"
"Professional Bio","Headline Keyword","Publisher"
"Professional Bio","Bio Keyword","monetisation"
"Professional Bio","Bio Keyword","media"
"Professional Bio","About Section Keyword","advertising revenue"
"Professional Bio","About Section Keyword","publisher"
"Professional Bio","About Section Keyword","programmatic"
