"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Accounting"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Employee Count — Min","51"
"Company Attributes","Employee Count — Max","5000"
"Company Attributes","Description Keyword — Include","audit"
"Company Attributes","Description Keyword — Include","assurance"
"Company Attributes","Description Keyword — Include","public accounting"
"Company Attributes","Description Keyword — Include","CPA firm"
"Company Attributes","Description Keyword — Include","statutory audit"
"Company Attributes","Description Keyword — Include","external audit"
"Company Attributes","Description Keyword — Exclude","bookkeeping only"
"Company Attributes","Description Keyword — Exclude","payroll only"
"Job Title","Seniority","Owner"
"Job Title","Seniority","Partner"
"Job Title","Seniority","Director"
"Job Title","Job Function","Accounting/Auditing"
"Job Title","Job Title — Include (Similar To)","Audit Partner"
"Job Title","Job Title — Include (Similar To)","Assurance Partner"
"Job Title","Job Title — Include (Similar To)","Managing Partner"
"Job Title","Job Title — Include (Similar To)","Director of Audit"
"Job Title","Job Title — Include (Similar To)","Head of Audit"
"Job Title","Job Title — Include (Similar To)","Audit Practice Leader"
"Job Title","Job Title — Include (Similar To)","Resource Lead"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Staff Accountant"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","audit"
"Experience","Experience Description Keyword","assurance"
"Experience","Experience Description Keyword","CPA"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","Audit Partner"
"Professional Bio","Headline Keyword","CPA"
"Professional Bio","Headline Keyword","Assurance"
"Professional Bio","Bio Keyword","audit"
"Professional Bio","Bio Keyword","capacity"
"Professional Bio","About Section Keyword","busy season"
"Professional Bio","About Section Keyword","HUD"
"Professional Bio","About Section Keyword","EBP"
