"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Management Consulting"
"Company Attributes","Industry — Include","Professional Training and Coaching"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Description Keyword — Include","consulting"
"Company Attributes","Description Keyword — Include","advisory"
"Company Attributes","Description Keyword — Include","clients"
"Company Attributes","Description Keyword — Include","B2B"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","recruitment"
"Company Attributes","Description Keyword — Exclude","tax filing"
"Job Title","Seniority","Owner"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Seniority","Partner"
"Job Title","Job Function","Consulting"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","Partner"
"Job Title","Job Title — Include (Similar To)","Managing Partner"
"Job Title","Job Title — Include (Similar To)","Managing Director"
"Job Title","Job Title — Include (Similar To)","Principal"
"Job Title","Job Title — Include (Similar To)","Practice Lead"
"Job Title","Job Title — Include (Similar To)","Client Partner"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Student"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","consulting"
"Experience","Experience Description Keyword","advisory"
"Experience","Experience Description Keyword","clients"
"Location","Country — Include","United Arab Emirates"
"Location","Country — Include","Saudi Arabia"
"Location","Country — Include","Qatar"
"Location","Country — Include","Kuwait"
"Location","Country — Include","Bahrain"
"Professional Bio","Headline Keyword","Partner"
"Professional Bio","Headline Keyword","Managing Director"
"Professional Bio","Headline Keyword","Principal"
"Professional Bio","Bio Keyword","consulting"
"Professional Bio","Bio Keyword","advisory"
"Professional Bio","Bio Keyword","B2B"
"Professional Bio","About Section Keyword","clients"
"Professional Bio","About Section Keyword","practice"
"Professional Bio","About Section Keyword","engagements"
