"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Hospital and Health Care"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Include","Accounting"
"Company Attributes","Industry — Include","Real Estate"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Employee Count — Min","11"
"Company Attributes","Employee Count — Max","1000"
"Company Attributes","Description Keyword — Include","cash flow"
"Company Attributes","Description Keyword — Include","forecasting"
"Company Attributes","Description Keyword — Include","financial visibility"
"Company Attributes","Description Keyword — Include","profitability"
"Company Attributes","Description Keyword — Include","margin"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","consumer"
"Job Title","Seniority","Owner"
"Job Title","Seniority","CXO"
"Job Title","Job Function","Finance"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","CFO"
"Job Title","Job Title — Include (Similar To)","Managing Partner"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","financial visibility"
"Experience","Experience Description Keyword","cash flow"
"Experience","Experience Description Keyword","growth"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","Founder"
"Professional Bio","Headline Keyword","CEO"
"Professional Bio","Headline Keyword","CFO"
"Professional Bio","Bio Keyword","profitability"
"Professional Bio","Bio Keyword","cash"
"Professional Bio","About Section Keyword","margin"
"Professional Bio","About Section Keyword","runway"
"Professional Bio","About Section Keyword","forecasting"
