"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Food Production"
"Company Attributes","Industry — Include","Food and Beverages"
"Company Attributes","Industry — Include","Consumer Goods"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","201"
"Company Attributes","Description Keyword — Include","supply chain"
"Company Attributes","Description Keyword — Include","demand planning"
"Company Attributes","Description Keyword — Include","manufacturing"
"Company Attributes","Description Keyword — Include","production planning"
"Company Attributes","Description Keyword — Include","S&OP"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","franchise"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Supply Chain"
"Job Title","Job Function","Operations"
"Job Title","Job Title — Include (Similar To)","Head of Supply Chain"
"Job Title","Job Title — Include (Similar To)","VP Supply Chain"
"Job Title","Job Title — Include (Similar To)","Supply Chain Director"
"Job Title","Job Title — Include (Similar To)","Head of Demand Planning"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","Head of Operations"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","supply chain"
"Experience","Experience Description Keyword","manufacturing"
"Experience","Experience Description Keyword","demand planning"
"Location","Country — Include","United Kingdom"
"Professional Bio","Headline Keyword","Head of Supply Chain"
"Professional Bio","Headline Keyword","Supply Chain Director"
"Professional Bio","Bio Keyword","supply chain"
"Professional Bio","Bio Keyword","S&OP"
"Professional Bio","About Section Keyword","production planning"
"Professional Bio","About Section Keyword","food"
"Professional Bio","About Section Keyword","FMCG"
