"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Accounting"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Include","Management Consulting"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Employee Count — Min","11"
"Company Attributes","Employee Count — Max","500"
"Company Attributes","Description Keyword — Include","advisory"
"Company Attributes","Description Keyword — Include","capacity"
"Company Attributes","Description Keyword — Include","delivery"
"Company Attributes","Description Keyword — Include","margin"
"Company Attributes","Description Keyword — Include","client outcomes"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","bookkeeping only"
"Job Title","Seniority","Owner"
"Job Title","Seniority","Partner"
"Job Title","Seniority","CXO"
"Job Title","Job Function","Finance"
"Job Title","Job Function","Consulting"
"Job Title","Job Title — Include (Similar To)","Partner"
"Job Title","Job Title — Include (Similar To)","Managing Partner"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Include (Similar To)","Practice Leader"
"Job Title","Job Title — Include (Similar To)","Advisory Lead"
"Job Title","Job Title — Include (Similar To)","Head of Delivery"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Associate"
"Job Title","Job Title — Exclude","Analyst"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","advisory"
"Experience","Experience Description Keyword","client delivery"
"Experience","Experience Description Keyword","margin"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","Partner"
"Professional Bio","Headline Keyword","Advisory"
"Professional Bio","Bio Keyword","capacity"
"Professional Bio","Bio Keyword","delivery"
"Professional Bio","About Section Keyword","client outcomes"
"Professional Bio","About Section Keyword","margin"
"Professional Bio","About Section Keyword","advisory firm"
