"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Accounting"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Employee Count — Min","11"
"Company Attributes","Employee Count — Max","500"
"Company Attributes","Description Keyword — Include","CPA"
"Company Attributes","Description Keyword — Include","advisory"
"Company Attributes","Description Keyword — Include","CFO advisory"
"Company Attributes","Description Keyword — Include","outsourced CFO"
"Company Attributes","Description Keyword — Include","fractional CFO"
"Company Attributes","Description Keyword — Include","accounting firm"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","bookkeeping only"
"Job Title","Seniority","Owner"
"Job Title","Seniority","Partner"
"Job Title","Seniority","CXO"
"Job Title","Job Function","Finance"
"Job Title","Job Function","Consulting"
"Job Title","Job Title — Include (Similar To)","Managing Partner"
"Job Title","Job Title — Include (Similar To)","Partner"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Include (Similar To)","Advisory Practice Leader"
"Job Title","Job Title — Include (Similar To)","CFO Advisory"
"Job Title","Job Title — Include (Similar To)","Principal"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Bookkeeper"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","CPA"
"Experience","Experience Description Keyword","advisory"
"Experience","Experience Description Keyword","CFO services"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","CPA"
"Professional Bio","Headline Keyword","Partner"
"Professional Bio","Headline Keyword","CFO Advisory"
"Professional Bio","Bio Keyword","advisory"
"Professional Bio","Bio Keyword","growth-stage"
"Professional Bio","About Section Keyword","outsourced CFO"
"Professional Bio","About Section Keyword","fractional"
"Professional Bio","About Section Keyword","accounting firm"
