"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Supermarkets"
"Company Attributes","Industry — Include","Food and Beverages"
"Company Attributes","Industry — Include","Food Production"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","demand planning"
"Company Attributes","Description Keyword — Include","forecasting"
"Company Attributes","Description Keyword — Include","replenishment"
"Company Attributes","Description Keyword — Include","availability"
"Company Attributes","Description Keyword — Include","on-shelf availability"
"Company Attributes","Description Keyword — Exclude","staffing"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Supply Chain"
"Job Title","Job Title — Include (Similar To)","Head of Demand Planning"
"Job Title","Job Title — Include (Similar To)","VP Demand Planning"
"Job Title","Job Title — Include (Similar To)","Demand Planning Director"
"Job Title","Job Title — Include (Similar To)","Senior Project Manager"
"Job Title","Job Title — Include (Similar To)","Head of Forecasting"
"Job Title","Job Title — Include (Similar To)","Head of Planning"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Analyst"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","demand planning"
"Experience","Experience Description Keyword","forecasting"
"Experience","Experience Description Keyword","grocery"
"Location","Country — Include","United Kingdom"
"Professional Bio","Headline Keyword","Head of Demand Planning"
"Professional Bio","Headline Keyword","Demand Planning"
"Professional Bio","Bio Keyword","demand planning"
"Professional Bio","Bio Keyword","forecasting"
"Professional Bio","About Section Keyword","replenishment"
"Professional Bio","About Section Keyword","availability"
"Professional Bio","About Section Keyword","S&OP"
