"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Include","Supermarkets"
"Company Attributes","Industry — Include","Hospitality"
"Company Attributes","Industry — Include","Restaurants"
"Company Attributes","Industry — Include","Food and Beverages"
"Company Attributes","Industry — Exclude","Healthcare"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","store operations"
"Company Attributes","Description Keyword — Include","frontline"
"Company Attributes","Description Keyword — Include","workforce"
"Company Attributes","Description Keyword — Include","multi-site"
"Company Attributes","Description Keyword — Include","labour"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Company Attributes","Description Keyword — Exclude","franchise"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","General Management"
"Job Title","Job Function","Operations"
"Job Title","Job Function","Information Technology"
"Job Title","Job Function","Human Resources"
"Job Title","Job Function","Finance"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","CTO"
"Job Title","Job Title — Include (Similar To)","CIO"
"Job Title","Job Title — Include (Similar To)","CPO"
"Job Title","Job Title — Include (Similar To)","CHRO"
"Job Title","Job Title — Include (Similar To)","CFO"
"Job Title","Job Title — Include (Similar To)","SVP Operations"
"Job Title","Job Title — Include (Similar To)","Operations Director"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Coordinator"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","store operations"
"Experience","Experience Description Keyword","workforce"
"Experience","Experience Description Keyword","frontline"
"Location","Country — Include","United States"
"Location","Country — Include","Canada"
"Professional Bio","Bio Keyword","store operations"
"Professional Bio","Bio Keyword","frontline"
"Professional Bio","About Section Keyword","workforce management"
"Professional Bio","About Section Keyword","multi-site"
