"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Accounting"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Include","Management Consulting"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Employee Count — Min","11"
"Company Attributes","Employee Count — Max","500"
"Company Attributes","Description Keyword — Include","transaction advisory"
"Company Attributes","Description Keyword — Include","deal advisory"
"Company Attributes","Description Keyword — Include","M&A advisory"
"Company Attributes","Description Keyword — Include","corporate finance"
"Company Attributes","Description Keyword — Include","quality of earnings"
"Company Attributes","Description Keyword — Include","QoE"
"Company Attributes","Description Keyword — Include","financial due diligence"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","tax filing only"
"Job Title","Seniority","Owner"
"Job Title","Seniority","Partner"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Finance"
"Job Title","Job Function","Consulting"
"Job Title","Job Title — Include (Similar To)","Partner"
"Job Title","Job Title — Include (Similar To)","Managing Partner"
"Job Title","Job Title — Include (Similar To)","Principal"
"Job Title","Job Title — Include (Similar To)","Head of Transaction Advisory"
"Job Title","Job Title — Include (Similar To)","Corporate Finance Partner"
"Job Title","Job Title — Include (Similar To)","M&A Director"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Associate"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","transaction advisory"
"Experience","Experience Description Keyword","M&A"
"Experience","Experience Description Keyword","due diligence"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","Partner"
"Professional Bio","Headline Keyword","Transaction Advisory"
"Professional Bio","Headline Keyword","M&A"
"Professional Bio","Bio Keyword","QoE"
"Professional Bio","Bio Keyword","due diligence"
"Professional Bio","About Section Keyword","quality of earnings"
"Professional Bio","About Section Keyword","deal"
"Professional Bio","About Section Keyword","advisory"
