"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Hospital and Health Care"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Include","Accounting"
"Company Attributes","Industry — Include","Real Estate"
"Company Attributes","Industry — Include","Computer Software"
"Company Attributes","Industry — Include","Internet"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Employee Count — Min","11"
"Company Attributes","Employee Count — Max","2000"
"Company Attributes","Description Keyword — Include","funding"
"Company Attributes","Description Keyword — Include","fundraising"
"Company Attributes","Description Keyword — Include","Series A"
"Company Attributes","Description Keyword — Include","Series B"
"Company Attributes","Description Keyword — Include","growth equity"
"Company Attributes","Description Keyword — Include","capital raise"
"Company Attributes","Description Keyword — Include","runway"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","lifestyle"
"Job Title","Seniority","Owner"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Job Function","Finance"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","CFO"
"Job Title","Job Title — Include (Similar To)","VP Finance"
"Job Title","Job Title — Include (Similar To)","Head of Finance"
"Job Title","Job Title — Include (Similar To)","VP FP&A"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","fundraising"
"Experience","Experience Description Keyword","capital raise"
"Experience","Experience Description Keyword","investor"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","Founder"
"Professional Bio","Headline Keyword","CEO"
"Professional Bio","Headline Keyword","CFO"
"Professional Bio","Bio Keyword","fundraising"
"Professional Bio","Bio Keyword","runway"
"Professional Bio","About Section Keyword","Series A"
"Professional Bio","About Section Keyword","capital"
"Professional Bio","About Section Keyword","investor"
