"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Facilities Services"
"Company Attributes","Industry — Include","Security and Investigations"
"Company Attributes","Industry — Include","Outsourcing/Offshoring"
"Company Attributes","Industry — Include","Hospitality"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","facilities management"
"Company Attributes","Description Keyword — Include","labour cost"
"Company Attributes","Description Keyword — Include","agency dependency"
"Company Attributes","Description Keyword — Include","cost reduction"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Finance"
"Job Title","Job Title — Include (Similar To)","CFO"
"Job Title","Job Title — Include (Similar To)","Chief Financial Officer"
"Job Title","Job Title — Include (Similar To)","Finance Director"
"Job Title","Job Title — Include (Similar To)","Head of Finance"
"Job Title","Job Title — Include (Similar To)","Commercial Director"
"Job Title","Job Title — Include (Similar To)","VP Finance"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Analyst"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Kingdom"
"Location","Country — Include","Ireland"
"Professional Bio","Bio Keyword","labour cost"
"Professional Bio","Bio Keyword","facilities"
"Professional Bio","About Section Keyword","cost reduction"
"Professional Bio","About Section Keyword","agency"
