"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Venture Capital and Private Equity"
"Company Attributes","Industry — Include","Investment Management"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","11"
"Company Attributes","Employee Count — Max","500"
"Company Attributes","Description Keyword — Include","private equity"
"Company Attributes","Description Keyword — Include","portfolio"
"Company Attributes","Description Keyword — Include","value creation"
"Company Attributes","Description Keyword — Include","investment"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","consumer lending"
"Job Title","Seniority","Partner"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Finance"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","Operating Partner"
"Job Title","Job Title — Include (Similar To)","Value Creation Partner"
"Job Title","Job Title — Include (Similar To)","Partner"
"Job Title","Job Title — Include (Similar To)","Managing Director"
"Job Title","Job Title — Include (Similar To)","Principal"
"Job Title","Job Title — Include (Similar To)","Portfolio Operations"
"Job Title","Job Title — Include (Similar To)","VP Portfolio"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Associate"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","private equity"
"Experience","Experience Description Keyword","value creation"
"Experience","Experience Description Keyword","portfolio"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","Operating Partner"
"Professional Bio","Headline Keyword","Value Creation"
"Professional Bio","Headline Keyword","Private Equity"
"Professional Bio","Bio Keyword","portfolio"
"Professional Bio","Bio Keyword","EBITDA"
"Professional Bio","About Section Keyword","100-day"
"Professional Bio","About Section Keyword","value creation"
"Professional Bio","About Section Keyword","media"
