"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Computer Software"
"Company Attributes","Industry — Include","Internet"
"Company Attributes","Industry — Include","Information Technology and Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Employee Count — Min","201"
"Company Attributes","Description Keyword — Include","SaaS"
"Company Attributes","Description Keyword — Include","software"
"Company Attributes","Description Keyword — Include","platform"
"Company Attributes","Description Keyword — Include","developer"
"Company Attributes","Description Keyword — Include","web"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Company Attributes","Description Keyword — Exclude","outsourcing"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Engineering"
"Job Title","Job Function","Information Technology"
"Job Title","Job Title — Include (Similar To)","CTO"
"Job Title","Job Title — Include (Similar To)","VP Engineering"
"Job Title","Job Title — Include (Similar To)","VP of Engineering"
"Job Title","Job Title — Include (Similar To)","Head of Engineering"
"Job Title","Job Title — Include (Similar To)","Director of Engineering"
"Job Title","Job Title — Include (Similar To)","Head of Technology"
"Job Title","Job Title — Include (Similar To)","Chief Architect"
"Job Title","Job Title — Include (Similar To)","Head of Platform"
"Job Title","Job Title — Include (Similar To)","Head of Infrastructure"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Recruiter"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Arab Emirates"
"Location","Country — Include","Saudi Arabia"
"Location","Country — Include","Qatar"
"Location","Country — Include","Kuwait"
"Location","Country — Include","Bahrain"
"Location","Country — Include","Oman"
"Professional Bio","Bio Keyword","frontend"
"Professional Bio","Bio Keyword","developer experience"
"Professional Bio","About Section Keyword","Next.js"
"Professional Bio","About Section Keyword","web performance"
"Professional Bio","About Section Keyword","edge"
"Professional Bio","About Section Keyword","infrastructure"
