"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Oil and Energy"
"Company Attributes","Industry — Include","Utilities"
"Company Attributes","Industry — Include","Renewables and Environment"
"Company Attributes","Industry — Include","Telecommunications"
"Company Attributes","Industry — Include","Wireless"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Employee Count — Min","201"
"Company Attributes","Description Keyword — Include","digital transformation"
"Company Attributes","Description Keyword — Include","AI"
"Company Attributes","Description Keyword — Include","automation"
"Company Attributes","Description Keyword — Include","infrastructure"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Company Attributes","Description Keyword — Exclude","recruitment"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Information Technology"
"Job Title","Job Function","General Management"
"Job Title","Job Function","Operations"
"Job Title","Job Title — Include (Similar To)","CTO"
"Job Title","Job Title — Include (Similar To)","CIO"
"Job Title","Job Title — Include (Similar To)","Chief Digital Officer"
"Job Title","Job Title — Include (Similar To)","Head of AI"
"Job Title","Job Title — Include (Similar To)","Head of Data"
"Job Title","Job Title — Include (Similar To)","Head of Technology"
"Job Title","Job Title — Include (Similar To)","IT Director"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","Managing Director"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Recruiter"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Kingdom"
"Professional Bio","Bio Keyword","AI"
"Professional Bio","Bio Keyword","digital transformation"
"Professional Bio","About Section Keyword","automation"
"Professional Bio","About Section Keyword","data"
"Professional Bio","About Section Keyword","workflow"
