"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Hospital and Health Care"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Include","Accounting"
"Company Attributes","Industry — Include","Real Estate"
"Company Attributes","Industry — Include","Computer Software"
"Company Attributes","Industry — Include","Internet"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Employee Count — Min","11"
"Company Attributes","Employee Count — Max","5000"
"Company Attributes","Description Keyword — Include","growth-stage"
"Company Attributes","Description Keyword — Include","scaling"
"Company Attributes","Description Keyword — Include","board"
"Company Attributes","Description Keyword — Include","investor"
"Company Attributes","Description Keyword — Include","EBITDA"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","lifestyle"
"Job Title","Seniority","Owner"
"Job Title","Seniority","CXO"
"Job Title","Job Function","Entrepreneurship"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Include (Similar To)","Co-Founder"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","Managing Director"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","scaling"
"Experience","Experience Description Keyword","growth"
"Experience","Experience Description Keyword","enterprise value"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","Founder"
"Professional Bio","Headline Keyword","CEO"
"Professional Bio","Bio Keyword","growth"
"Professional Bio","Bio Keyword","EBITDA"
"Professional Bio","About Section Keyword","scaling"
"Professional Bio","About Section Keyword","board"
"Professional Bio","About Section Keyword","investor"
