"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Hospital and Health Care"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Include","Accounting"
"Company Attributes","Industry — Include","Real Estate"
"Company Attributes","Industry — Include","Management Consulting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Employee Count — Min","51"
"Company Attributes","Employee Count — Max","5000"
"Company Attributes","Description Keyword — Include","exit"
"Company Attributes","Description Keyword — Include","acquisition"
"Company Attributes","Description Keyword — Include","M&A"
"Company Attributes","Description Keyword — Include","strategic alternatives"
"Company Attributes","Description Keyword — Include","investment bank"
"Company Attributes","Description Keyword — Include","sell-side"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","lifestyle"
"Job Title","Seniority","Owner"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Partner"
"Job Title","Job Function","Finance"
"Job Title","Job Function","General Management"
"Job Title","Job Function","Operations"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Include (Similar To)","President"
"Job Title","Job Title — Include (Similar To)","CFO"
"Job Title","Job Title — Include (Similar To)","VP Finance"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","Managing Director"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","exit"
"Experience","Experience Description Keyword","M&A"
"Experience","Experience Description Keyword","acquisition"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","CEO"
"Professional Bio","Headline Keyword","CFO"
"Professional Bio","Headline Keyword","Founder"
"Professional Bio","Bio Keyword","exit"
"Professional Bio","Bio Keyword","M&A"
"Professional Bio","About Section Keyword","strategic alternatives"
"Professional Bio","About Section Keyword","due diligence"
"Professional Bio","About Section Keyword","enterprise value"
