"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Include","Consumer Goods"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Include","Hospitality"
"Company Attributes","Industry — Include","Airlines/Aviation"
"Company Attributes","Industry — Include","Telecommunications"
"Company Attributes","Industry — Include","Automotive"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","retail media"
"Company Attributes","Description Keyword — Include","media network"
"Company Attributes","Description Keyword — Include","first-party data"
"Company Attributes","Description Keyword — Include","audience"
"Company Attributes","Description Keyword — Include","data monetization"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","franchise"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Marketing"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","CMO"
"Job Title","Job Title — Include (Similar To)","CDO"
"Job Title","Job Title — Include (Similar To)","Head of Media"
"Job Title","Job Title — Include (Similar To)","VP Data"
"Job Title","Job Title — Include (Similar To)","VP Strategy"
"Job Title","Job Title — Include (Similar To)","Head of Audience"
"Job Title","Job Title — Include (Similar To)","Head of Data Partnerships"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","first-party data"
"Experience","Experience Description Keyword","media"
"Experience","Experience Description Keyword","monetization"
"Location","Country — Include","United States"
"Location","Country — Include","United Kingdom"
"Professional Bio","Headline Keyword","Media Strategy"
"Professional Bio","Headline Keyword","CMO"
"Professional Bio","Headline Keyword","Data"
"Professional Bio","Bio Keyword","first-party data"
"Professional Bio","Bio Keyword","retail media"
"Professional Bio","About Section Keyword","media network"
"Professional Bio","About Section Keyword","audience"
"Professional Bio","About Section Keyword","monetization"
