"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Hospital and Health Care"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Include","Accounting"
"Company Attributes","Industry — Include","Real Estate"
"Company Attributes","Industry — Include","Computer Software"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Industry — Exclude","Government Administration"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","51"
"Company Attributes","Employee Count — Max","5000"
"Company Attributes","Description Keyword — Include","scaling"
"Company Attributes","Description Keyword — Include","growth"
"Company Attributes","Description Keyword — Include","FP&A"
"Company Attributes","Description Keyword — Include","forecasting"
"Company Attributes","Description Keyword — Include","operational complexity"
"Company Attributes","Description Keyword — Include","cash visibility"
"Company Attributes","Description Keyword — Exclude","staffing"
"Company Attributes","Description Keyword — Exclude","lifestyle"
"Job Title","Seniority","Owner"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Job Function","Finance"
"Job Title","Job Function","General Management"
"Job Title","Job Function","Operations"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","Founder"
"Job Title","Job Title — Include (Similar To)","CFO"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","VP Finance"
"Job Title","Job Title — Include (Similar To)","Head of Finance"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","scaling"
"Experience","Experience Description Keyword","FP&A"
"Experience","Experience Description Keyword","forecasting"
"Location","Country — Include","United States"
"Professional Bio","Headline Keyword","CEO"
"Professional Bio","Headline Keyword","CFO"
"Professional Bio","Headline Keyword","Founder"
"Professional Bio","Bio Keyword","scaling"
"Professional Bio","Bio Keyword","growth"
"Professional Bio","About Section Keyword","FP&A"
"Professional Bio","About Section Keyword","forecasting"
"Professional Bio","About Section Keyword","cash visibility"
