"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Food Production"
"Company Attributes","Industry — Include","Automotive"
"Company Attributes","Industry — Include","Consumer Goods"
"Company Attributes","Industry — Include","Packaging and Containers"
"Company Attributes","Industry — Include","Machinery"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","201"
"Company Attributes","Description Keyword — Include","supply chain"
"Company Attributes","Description Keyword — Include","demand planning"
"Company Attributes","Description Keyword — Include","inventory optimisation"
"Company Attributes","Description Keyword — Include","S&OP"
"Company Attributes","Description Keyword — Include","production planning"
"Company Attributes","Description Keyword — Exclude","staffing"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Supply Chain"
"Job Title","Job Function","Operations"
"Job Title","Job Title — Include (Similar To)","Head of Supply Chain"
"Job Title","Job Title — Include (Similar To)","VP Supply Chain"
"Job Title","Job Title — Include (Similar To)","Supply Chain Director"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","Head of Operations"
"Job Title","Job Title — Include (Similar To)","Senior Project Manager"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","supply chain"
"Experience","Experience Description Keyword","S&OP"
"Experience","Experience Description Keyword","manufacturing"
"Location","Country — Include","Germany"
"Location","Country — Include","France"
"Location","Country — Include","Netherlands"
"Location","Country — Include","Belgium"
"Location","Country — Include","Sweden"
"Location","Country — Include","Poland"
"Location","Country — Include","Switzerland"
"Professional Bio","Headline Keyword","Head of Supply Chain"
"Professional Bio","Headline Keyword","Supply Chain Director"
"Professional Bio","Bio Keyword","supply chain"
"Professional Bio","Bio Keyword","manufacturing"
"Professional Bio","About Section Keyword","S&OP"
"Professional Bio","About Section Keyword","demand planning"
"Professional Bio","About Section Keyword","inventory"
