"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Banking"
"Company Attributes","Industry — Include","Financial Services"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Industry — Exclude","Non-profit Organization Management"
"Company Attributes","Employee Count — Min","51"
"Company Attributes","Description Keyword — Include","bank"
"Company Attributes","Description Keyword — Include","lending"
"Company Attributes","Description Keyword — Include","KYC"
"Company Attributes","Description Keyword — Include","AML"
"Company Attributes","Description Keyword — Include","compliance"
"Company Attributes","Description Keyword — Exclude","staffing agency"
"Company Attributes","Description Keyword — Exclude","recruitment"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Information Technology"
"Job Title","Job Function","General Management"
"Job Title","Job Function","Finance"
"Job Title","Job Title — Include (Similar To)","CTO"
"Job Title","Job Title — Include (Similar To)","CIO"
"Job Title","Job Title — Include (Similar To)","Chief Digital Officer"
"Job Title","Job Title — Include (Similar To)","Head of AI"
"Job Title","Job Title — Include (Similar To)","Head of Data"
"Job Title","Job Title — Include (Similar To)","Head of Operations"
"Job Title","Job Title — Include (Similar To)","Head of Banking Operations"
"Job Title","Job Title — Include (Similar To)","IT Director"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","Managing Director"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Analyst"
"Job Title","Job Title — Exclude","Recruiter"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Kingdom"
"Professional Bio","Bio Keyword","AI"
"Professional Bio","Bio Keyword","digital transformation"
"Professional Bio","About Section Keyword","KYC"
"Professional Bio","About Section Keyword","automation"
"Professional Bio","About Section Keyword","workflow"
