"Section","Filter Field","Value"
"Company Attributes","Industry — Include","Supermarkets"
"Company Attributes","Industry — Include","Food and Beverages"
"Company Attributes","Industry — Include","Retail"
"Company Attributes","Industry — Exclude","Staffing and Recruiting"
"Company Attributes","Employee Count — Min","1001"
"Company Attributes","Description Keyword — Include","supply chain"
"Company Attributes","Description Keyword — Include","operations"
"Company Attributes","Description Keyword — Include","grocery"
"Company Attributes","Description Keyword — Include","availability"
"Company Attributes","Description Keyword — Include","inventory"
"Company Attributes","Description Keyword — Exclude","staffing"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Operations"
"Job Title","Job Function","General Management"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","Operations Director"
"Job Title","Job Title — Include (Similar To)","Managing Director"
"Job Title","Job Title — Include (Similar To)","CEO"
"Job Title","Job Title — Include (Similar To)","CTO"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Experience","Experience Description Keyword","operations"
"Experience","Experience Description Keyword","supply chain"
"Experience","Experience Description Keyword","grocery"
"Location","Country — Include","United Kingdom"
"Professional Bio","Headline Keyword","COO"
"Professional Bio","Headline Keyword","Operations Director"
"Professional Bio","Headline Keyword","Managing Director"
"Professional Bio","Bio Keyword","supply chain"
"Professional Bio","Bio Keyword","grocery"
"Professional Bio","About Section Keyword","availability"
"Professional Bio","About Section Keyword","inventory"
"Professional Bio","About Section Keyword","operations"
